,month,day,Artist,Title,listen
172,4,4,Wizkid,Ayo,5
176,4,7,Lake Street Dive,Obviously,4
181,4,7,The Internet,Hive Mind,4
183,4,8,Jon Batiste,WE ARE,248
184,4,8,Lake Street Dive,Lake Street Dive,11
186,4,10,Childish Gambino,Awaken My Love!,66
187,4,10,Dr. John,Desitively Bonnaroo,20
188,4,10,Prince & The New Power Generation,Diamonds and Pearls,30
189,4,10,Prince and the New Power Generation,Diamonds and Pearls,4
191,4,11,Black Pumas,Black Pumas (Deluxe Edition),36
192,4,11,Curtis Harding,Face Your Fear,11
193,4,11,Curtis Harding,If Words Were Flowers,4
195,4,11,Prince & The New Power Generation,Diamonds and Pearls,18
196,4,12,Curtis Harding,If Words Were Flowers,10
197,4,13,Adele,30,23
199,4,13,Big Thief,Two Hands,7
200,4,13,Childish Gambino,Awaken My Love!,29
201,4,13,Curtis Harding,If Words Were Flowers,18
209,4,14,Bon Iver,For Emma Forever Ago,9
214,4,14,Laura Marling,Song For Our Daughter,14
215,4,14,Nick Drake,Pink Moon,8
216,4,14,Sault,Air,7
217,4,14,Sault,UNTITLED (Rise),10
219,4,14,The Lumineers,Cleopatra (Deluxe),13
221,4,14,UB40,Labour of Love II,14
222,4,14,Whitney Houston,Whitney,7
223,4,15,Sault,UNTITLED (Rise),19
224,4,16,Sault,Untitled (Black Is),5
228,4,18,Florence + the Machine,Lungs (Deluxe Edition),26
229,4,18,Sault,7,10
244,4,19,The Black Keys,Brothers (Deluxe Remastered Anniversary Edition),17
245,4,19,Vince Staples,Ramona Park Broke My Heart,9
250,4,20,Dan Auerbach,Keep It Hid,6
251,4,20,Jazmine Sullivan,Heaux Tales Mo' Tales: The Deluxe,10
254,4,20,Vince Staples,FM!,9
255,4,20,Vince Staples,Vince Staples,9
258,10,5,Tyler Childers,Long Violent History,4
259,10,6,Anderson .Paak,Malibu,6
260,10,6,Jungle,Loving In Stereo,8
263,10,7,Dan Auerbach,Keep It Hid,14
264,10,7,Jungle,Loving In Stereo,14
267,10,7,Lake Street Dive,Obviously,11
268,10,7,Lake Street Dive,Side Pony,12
271,10,7,Prince & The Revolution,Purple Rain (Soundtrack),9
273,10,7,Sault,5,14
275,10,7,The Beach Boys,Pet Sounds,14
277,10,7,The Meters,The Meters,12
278,10,7,Tyler The Creator,IGOR,9
280,10,8,BLK ODYSSY,BLK VINTAGE,10
282,10,8,Dirty Heads Steve Fox & Stan Frazier,Any Port in a Storm,5
283,10,8,Dirty Heads Steve Fox Stan Frazier & Lewis Richards,Any Port in a Storm,4
286,10,8,GZA/Genius,Liquid Swords (Expanded Edition),4
288,10,8,Lenny Kravitz,Mama Said (21st Anniversary Deluxe Edition),16
290,10,9,Bon Iver,For Emma Forever Ago,9
292,10,11,Lake Street Dive,Side Pony,12
296,10,12,Mina Okabe,Better Days,10
298,10,15,Sturgill Simpson,Metamodern Sounds in Country Music,10
300,10,19,Mandolin Orange,Tides of a Teardrop,6
301,10,19,Mina Okabe,Better Days,11
302,10,20,Chance the Rapper,The Big Day,15
303,10,21,BLK ODYSSY,BLK VINTAGE,10
305,10,21,Frank Ocean,channel ORANGE,13
307,10,21,SZA,Ctrl,15
308,10,21,Sir,Chasing Summer,13
312,10,22,Devendra Banhart,Rejoicing in the Hands,12
313,10,22,Dr. John,In the Right Place,11
314,10,22,Kali Uchis,Isolation,15
